date,state,positive,negative,pending,currentlyHospitalized,cumulativeHospitalized,currentlyInIcu,cumulativeInIcu,currentlyOnVentilator,cumulativeOnVentilator,recovered,death,hash,dateChecked,totalTestResults,total,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200329,MO,838,11547,,,,,,,,,10,8a3c7c7458e49e7965e6d718a5e7c6273ee9df1e,2020-03-29T20:00:00Z,12385,12385,29,0,0,1465,0,1465
20200329,MP,2,,,,,,,,,,,528c0921b2870cf813036290e2e7b260251241c1,2020-03-29T20:00:00Z,2,2,69,0,0,0,0,0
20200329,MS,758,2560,,,235,,,,,,14,23f94bd56045de2cfd6bc0d8ae0da46e593ddab2,2020-03-29T20:00:00Z,3318,3318,28,1,0,0,95,95
20200329,MT,154,4143,,,8,,,,,,1,a3410f9cbc114a7b67bfda2c84f4ad2323d01778,2020-03-29T20:00:00Z,4297,4297,30,0,0,887,25,912
20200329,NC,1040,17905,,91,91,,,,,,4,f9887dd3420cae9ef16fd42efa516224d291641e,2020-03-29T20:00:00Z,18945,18945,37,0,0,1313,105,1418
20200329,ND,98,3355,,,17,,,,,18,1,c9df530718c3d0221cc4924a786a00e69051971b,2020-03-29T20:00:00Z,3453,3453,38,0,0,546,15,561
20200329,NE,108,1968,4,,,,,,,,2,668a5de0a321d80f40dc139ed9c4378024843f97,2020-03-29T20:00:00Z,2076,2080,31,0,0,64,12,76
20200329,NH,214,4524,285,,33,,,,,,2,e04385e8eb844db4fa298364d6937ff65c28e4b0,2020-03-29T20:00:00Z,4738,5023,33,0,0,868,27,895
20200329,NJ,13386,22216,,,,,,,,,161,9e32196a760a85e45415306c91605b25e8ace51c,2020-03-29T20:00:00Z,35602,35602,34,21,0,2830,2262,5092
20200329,NM,237,10769,,19,19,,,,,2,2,080190cad699064ec5fc0bf3546441a8e0953eeb,2020-03-29T20:00:00Z,11006,11006,35,1,0,1573,46,1619
20200329,NV,738,8412,,,,,,,,,14,e8532f1312c21e991e2908a476fc3766fbccf243,2020-03-29T20:00:00Z,9150,9150,32,4,0,511,117,628
20200329,NY,59513,112847,,8503,12075,2037,2037,,,3572,965,c138504b43f986cd1590498c896037961b63222f,2020-03-29T20:00:00Z,172360,172360,36,237,0,9231,7195,16426
20200329,OH,1653,19012,,,403,,139,,,,29,8c4cccb1fc09fa6c9b3783e1dc7058409b328469,2020-03-29T20:00:00Z,20665,20665,39,4,0,0,247,247
20200329,OK,429,1205,,,140,,,,,,16,fc3cc58f75ea09ff4540faf4a9539a4d19bc42f5,2020-03-29T20:00:00Z,1634,1634,40,1,0,25,52,77
20200329,OR,548,10878,,107,129,,,37,37,,13,224089b34a2d441d4faba240629f8dbc0335a99d,2020-03-29T20:00:00Z,11426,11426,41,0,0,1185,69,1254
20200329,PA,3394,30061,,,682,,,,,,38,ef772b94f321a8b1b23903ce1c25899f5659cf72,2020-03-29T20:00:00Z,33455,33455,42,4,0,4807,643,5450
20200329,PR,127,841,817,,,,,,,,5,14ebeb491d14e8c8a4bb74c2d7a7e2c9dce4f84f,2020-03-29T20:00:00Z,968,1785,72,2,0,102,27,129
20200329,RI,294,2541,,35,35,9,9,6,6,,3,088af1611d3135cd4ea12b609a1fe46c0f9afa7a,2020-03-29T20:00:00Z,2835,2835,44,3,0,235,91,326
20200329,SC,774,3015,,,129,,,,,,16,1945b6a9282db3cd2757ccc22ca4f4795f59b61f,2020-03-29T20:00:00Z,3789,3789,45,3,0,607,235,842
20200329,SD,90,3127,1,,,,,,,29,1,5f753697e5dfeb10a0f28844284a3f7d133926c5,2020-03-29T20:00:00Z,3217,3218,46,0,0,535,22,557
20200329,TN,1537,19037,,,133,,,,,,7,a8539aaf0777e28397744af51af4005326f94022,2020-03-29T20:00:00Z,20574,20574,47,1,0,2072,164,2236
20200329,TX,2552,23208,,,,,,,,,34,138f65b79dcd0494f790b813749698ddc6b52365,2020-03-29T20:00:00Z,25760,25760,48,7,0,0,500,500
20200329,UT,719,13274,,,,,,,,,2,1b3f1efb2dd976f21fe4df4ceb191f88e3fbd1df,2020-03-29T20:00:00Z,13993,13993,49,0,0,2564,117,2681
20200329,VA,890,9719,,,112,,,,,,22,2faabe640f9a06fa9ebfe1215861e84b0883c3c7,2020-03-29T20:00:00Z,10609,10609,51,5,0,1292,151,1443
20200329,VI,23,123,37,,,,,,,,,68f10a64169d3496a52111a94421040d750f4551,2020-03-29T20:00:00Z,146,183,78,0,0,17,1,18
20200329,VT,235,3466,,,18,,,,,,12,8ac8d2b5b754854fe9bc775ac7390f569c0008e2,2020-03-29T20:00:00Z,3701,3701,50,0,0,1303,24,1327
20200329,WA,4310,54896,,,254,,,,,,189,beac4ff9c340f9206d52a272bbb3182f83923685,2020-03-29T20:00:00Z,59206,59206,53,14,0,5881,587,6468
20200329,WI,1112,16550,,,,,,,,,13,3c54da5170cb06dddbbcb35b7658e5f6907e41fe,2020-03-29T20:00:00Z,17662,17662,55,0,0,1318,123,1441
20200329,WV,113,2705,0,,1,,,,,,0,ba6b451b86c4d2bf5f2aa3852252045cafebf75b,2020-03-29T20:00:00Z,2818,2818,54,0,0,374,17,391
20200329,WY,86,1554,,,15,,,,,20,0,1dcd3a7b57abf68b7384528d1e6d2e11a89c5b96,2020-03-29T20:00:00Z,1640,1640,56,0,0,79,4,83
20200328,AK,85,2836,,,5,,,,,,2,3226f6f10ac5c74ebf1bc7fd2f3e864f79e02c48,2020-03-28T20:00:00Z,2921,2921,02,1,0,517,16,533
20200328,AL,696,4184,,,,,,,,,3,438c24b74a8f57d69e730ec6a586a313a144fbfe,2020-03-28T20:00:00Z,4880,4880,01,0,0,0,109,109
20200328,AR,404,2938,0,48,48,,,17,17,24,5,0a546e7b8aad8ef76a8fa26a6a23a2be2343291c,2020-03-28T20:00:00Z,3342,3342,05,2,0,1393,23,1416
20200328,AS,0,,0,,,,,,,,0,aac66acf33fd266ef5ddca75142c99e3961f6309,2020-03-28T20:00:00Z,0,0,60,0,0,0,0,0
20200328,AZ,873,7455,21,,,,,,,,15,d2dedabe5e0e1ffb8e0442d6457de642217cb020,2020-03-28T20:00:00Z,8328,8349,04,2,0,0,137,137
20200328,CA,4643,20549,64400,1034,1034,410,410,,,,101,4b15db5942d619fb9e016f2e860363c3f0d35c4d,2020-03-28T20:00:00Z,25192,89592,06,23,0,3169,764,3933
