Rank,Country (or dependent territory),Population,% of worldpopulation,Date,Source
–,Guernsey (UK),62792,,31 Mar 2019,National estimate[181]
–,American Samoa (US),56700,,1 Jul 2018,National annual estimate[91]
–,Greenland (Denmark),56081,,1 Jan 2020,National estimate[182]
–,Northern Mariana Islands (US),56200,,1 Jul 2018,National annual estimate[91]
187,Marshall Islands,55500,,1 Jul 2018,National annual estimate[91]
–,South Ossetia,53532,,15 Oct 2015,Preliminary 2015 census result[183]
188,Saint Kitts and Nevis,52823,,1 Jul 2019,UN projection[2]
–,Faroe Islands (Denmark),52124,,1 Jan 2020,Monthly national estimate[184]
–,Turks and Caicos Islands (UK),41369,,1 Jul 2018,National estimate[185]
–,Sint Maarten (Netherlands),40614,,1 Jan 2018,National estimate[186]
189,Liechtenstein,38749,,31 Dec 2019,National semi annual estimate[187]
190,Monaco,38300,,31 Dec 2018,National annual estimate[188]
–,Saint Martin (France),35746,,1 Jan 2016,National estimate[189]
–,Gibraltar (UK),33701,,1 Jul 2019,UN projection[2]
191,San Marino,33574,,31 Dec 2019,National monthly estimate[190]
–,British Virgin Islands (UK),30030,,1 Jul 2019,UN projection[2]
–,Åland Islands (Finland),29885,,31 Jan 2020,National annual estimate[191]
192,Palau,17900,,1 Jul 2018,National annual estimate[91]
–,Cook Islands (NZ),15200,,1 Jul 2018,National annual estimate[91]
–,Anguilla (UK),14869,,1 Jul 2019,UN projection[2]
–,Wallis and Futuna (France),11700,,1 Jul 2018,National annual estimate[91]
193,Nauru,11000,,1 Jul 2018,National annual estimate[91]
194,Tuvalu,10200,,1 Jul 2018,National annual estimate[91]
–,Saint Barthélemy (France),9793,,1 Jan 2016,National estimate[192]
–,Saint Pierre and Miquelon (France),6008,,1 Jan 2016,National estimate[193]
–,"Saint Helena, Ascensionand Tristan da Cunha (UK)",5633,,7 Feb 2016,2016 census result[194]
–,Montserrat (UK),4989,,1 Jul 2019,UN projection[2]
–,Falkland Islands (UK),3198,,9 Oct 2016,2016 census result[195]
–,Christmas Island (Australia),1928,,30 Jun 2018,National estimate[196]
–,Norfolk Island (Australia),1756,,30 Jun 2018,National estimate[196]
–,Niue (NZ),1520,,1 Jul 2018,National annual estimate[91]
–,Tokelau (NZ),1400,,1 Jul 2018,National annual estimate[91]
195,Vatican City,799,,1 Jul 2019,UN projection[2]
–,Cocos (Keeling) Islands (Australia),538,,30 Jun 2018,National estimate[196]
–,Pitcairn Islands (UK),50,,1 Jan 2019,National estimate[197]
,World,7774607000,100%,27 Mar 2020,UN projection[198]
